epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,7419.92,0.46743,0.32335,0.89786,0.99964,1,0.995,0.93495,0.40064,0.24298,0.82212,0.0011486,0.0011486,0.0011486
45,7588.05,0.46008,0.31182,0.89114,0.99406,1,0.995,0.9253,0.3938,0.24175,0.81198,0.0011288,0.0011288,0.0011288
46,7756.35,0.46272,0.32367,0.89703,0.998,1,0.995,0.91811,0.38072,0.2467,0.8104,0.001109,0.001109,0.001109
47,7924.18,0.45046,0.30896,0.8916,0.99968,1,0.995,0.92844,0.39174,0.23688,0.80556,0.0010892,0.0010892,0.0010892
48,8092.07,0.43118,0.29611,0.87654,0.99939,1,0.995,0.93631,0.39942,0.23288,0.81528,0.0010694,0.0010694,0.0010694
49,8260.36,0.46681,0.31924,0.89155,0.97767,0.99513,0.99477,0.9229,0.41,0.27522,0.81645,0.0010496,0.0010496,0.0010496
50,8428.58,0.45235,0.30551,0.88017,0.99962,1,0.995,0.93211,0.3793,0.23297,0.80645,0.0010298,0.0010298,0.0010298
51,8596.69,0.44454,0.307,0.88914,1,0.99966,0.995,0.93151,0.37111,0.23121,0.81186,0.00101,0.00101,0.00101
52,8764.42,0.42183,0.29667,0.88351,0.99925,1,0.995,0.93948,0.37178,0.24436,0.80404,0.0009902,0.0009902,0.0009902
53,8932.16,0.4437,0.30364,0.88666,0.99777,1,0.995,0.94444,0.36959,0.23884,0.80023,0.0009704,0.0009704,0.0009704
54,9100.1,0.45641,0.31722,0.89588,0.99962,1,0.995,0.93564,0.37502,0.22645,0.80724,0.0009506,0.0009506,0.0009506
55,9268.13,0.44962,0.3043,0.89374,0.99966,1,0.995,0.93669,0.38609,0.23222,0.80653,0.0009308,0.0009308,0.0009308
56,9436.29,0.44836,0.30277,0.88445,0.9972,1,0.995,0.94209,0.35918,0.22207,0.79952,0.000911,0.000911,0.000911
57,9604.29,0.43596,0.292,0.88861,0.999,1,0.995,0.93256,0.36632,0.22884,0.80192,0.0008912,0.0008912,0.0008912
58,9772.23,0.42403,0.2884,0.88131,0.99924,1,0.995,0.93872,0.36361,0.22466,0.80261,0.0008714,0.0008714,0.0008714
59,9940.49,0.45618,0.30623,0.89783,0.99953,1,0.995,0.92479,0.39765,0.2244,0.80943,0.0008516,0.0008516,0.0008516
60,10108.9,0.43063,0.28858,0.88434,0.99865,1,0.995,0.93874,0.36561,0.21017,0.79935,0.0008318,0.0008318,0.0008318
61,10276.6,0.4278,0.28986,0.87607,0.99861,1,0.995,0.95553,0.34348,0.20944,0.79066,0.000812,0.000812,0.000812
62,10444.5,0.43471,0.29118,0.8841,0.99829,1,0.995,0.94281,0.36037,0.21569,0.79701,0.0007922,0.0007922,0.0007922
63,10612.8,0.41574,0.2752,0.8794,0.99396,1,0.995,0.93961,0.36511,0.21853,0.79674,0.0007724,0.0007724,0.0007724
64,10780.7,0.41978,0.28663,0.88106,0.99669,1,0.995,0.94436,0.35435,0.2168,0.80164,0.0007526,0.0007526,0.0007526
65,10949.4,0.4249,0.28435,0.88271,0.99568,1,0.995,0.93734,0.36538,0.22039,0.79543,0.0007328,0.0007328,0.0007328
66,11117.7,0.41541,0.27876,0.87467,0.99812,1,0.995,0.94524,0.35858,0.21748,0.78841,0.000713,0.000713,0.000713
67,11286,0.41369,0.28158,0.87633,0.99956,1,0.995,0.94734,0.33676,0.21065,0.788,0.0006932,0.0006932,0.0006932
