epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.798,0.65437,2.43031,0.94141,1,0.42846,0.75196,0.64669,0.56047,2.99094,0.85947,0.00042,0.00042,0.00042
2,206.703,0.6333,1.42005,0.92832,1,0.39643,0.68955,0.63663,0.46733,3.03841,0.82361,0.000851486,0.000851486,0.000851486
3,310.572,0.65971,1.28105,0.93453,0.98469,0.62432,0.96149,0.82737,0.54519,2.65623,0.88217,0.00127426,0.00127426,0.00127426
4,413.552,0.66796,1.29164,0.96498,0.96003,0.98058,0.99073,0.84756,0.58077,1.91986,0.88688,0.00168832,0.00168832,0.00168832
5,514.755,0.66016,1.12074,0.94291,0.90501,0.925,0.97623,0.83638,0.58801,1.8901,0.88668,0.0019208,0.0019208,0.0019208
6,614.318,0.70357,1.02849,0.98959,0.82002,0.98058,0.9406,0.82108,0.56391,1.8549,0.86023,0.001901,0.001901,0.001901
7,714.517,0.64739,0.88918,0.94737,0.70765,0.70874,0.7345,0.60422,0.68976,2.18215,0.92843,0.0018812,0.0018812,0.0018812
8,810.364,0.58374,0.83005,0.936,0.88949,0.93204,0.96889,0.83585,0.54642,1.24137,0.86823,0.0018614,0.0018614,0.0018614
9,907.592,0.58508,0.7282,0.9152,0.96868,0.90094,0.98253,0.83458,0.62761,1.11944,0.90614,0.0018416,0.0018416,0.0018416
10,1003.37,0.56112,0.70745,0.92554,0.57865,0.87379,0.74126,0.66595,0.49641,2.11465,0.85124,0.0018218,0.0018218,0.0018218
11,1100.23,0.58873,0.68748,0.92678,0.96261,0.99029,0.99423,0.89467,0.48971,1.02471,0.84074,0.001802,0.001802,0.001802
12,6086.25,0.58675,0.65832,0.93459,1,0.99973,0.995,0.87529,0.49762,0.67463,0.84369,0.0017822,0.0017822,0.0017822
13,6180.81,0.58935,0.62788,0.92917,0.93184,0.97087,0.99058,0.86678,0.51781,0.65759,0.85686,0.0017624,0.0017624,0.0017624
14,6279.26,0.60118,0.60262,0.93427,0.99669,0.99029,0.995,0.87072,0.50607,0.69663,0.84598,0.0017426,0.0017426,0.0017426
15,6390.67,0.57584,0.58374,0.93483,0.99769,1,0.995,0.88791,0.45939,0.54383,0.82459,0.0017228,0.0017228,0.0017228
16,6490.22,0.55287,0.53414,0.92113,0.97523,0.96117,0.98976,0.87863,0.46726,0.60295,0.83023,0.001703,0.001703,0.001703
17,25611.9,0.55008,0.5268,0.91208,0.99943,1,0.995,0.89527,0.45623,0.46082,0.82278,0.0016832,0.0016832,0.0016832
18,25705.2,0.57193,0.5407,0.9485,0.99907,1,0.995,0.89303,0.43984,0.44619,0.82986,0.0016634,0.0016634,0.0016634
19,25803.1,0.55376,0.49863,0.93169,0.99933,1,0.995,0.90631,0.42175,0.42287,0.81348,0.0016436,0.0016436,0.0016436
20,25900.1,0.55713,0.52441,0.93635,0.99693,1,0.995,0.90559,0.43546,0.46358,0.82048,0.0016238,0.0016238,0.0016238
21,25997.6,0.51835,0.47962,0.90331,0.9894,1,0.995,0.90064,0.42316,0.43864,0.81984,0.001604,0.001604,0.001604
22,26095.3,0.4902,0.44772,0.88552,0.99739,1,0.995,0.8972,0.46172,0.41398,0.83736,0.0015842,0.0015842,0.0015842
23,26192.4,0.52656,0.465,0.91628,0.99934,1,0.995,0.9205,0.42199,0.4184,0.81516,0.0015644,0.0015644,0.0015644
