epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,26290.1,0.49898,0.43036,0.90222,0.99922,1,0.995,0.92792,0.398,0.34833,0.80753,0.0015446,0.0015446,0.0015446
25,26387.3,0.48505,0.43424,0.90935,0.99939,1,0.995,0.93336,0.36413,0.34385,0.79352,0.0015248,0.0015248,0.0015248
26,26485.3,0.48627,0.4308,0.89466,0.99932,1,0.995,0.92738,0.37297,0.34193,0.79549,0.001505,0.001505,0.001505
27,26580.7,0.47743,0.41232,0.88216,0.99924,1,0.995,0.93478,0.3789,0.32767,0.79614,0.0014852,0.0014852,0.0014852
28,26675.5,0.46256,0.39107,0.89658,0.99933,1,0.995,0.93061,0.37586,0.30631,0.79887,0.0014654,0.0014654,0.0014654
29,69377.7,0.46548,0.40504,0.88082,0.99905,1,0.995,0.91658,0.39019,0.33629,0.8041,0.0014456,0.0014456,0.0014456
30,69499.3,0.47946,0.38949,0.89306,0.99725,1,0.995,0.90658,0.41443,0.35791,0.8048,0.0014258,0.0014258,0.0014258
31,69626.4,0.45281,0.39858,0.88296,0.99906,1,0.995,0.93163,0.37431,0.30183,0.79703,0.001406,0.001406,0.001406
32,69754.8,0.47818,0.39393,0.89032,0.99769,1,0.995,0.9045,0.39799,0.3272,0.8053,0.0013862,0.0013862,0.0013862
33,69882.1,0.47283,0.3812,0.89148,0.99883,1,0.995,0.9235,0.35079,0.31755,0.79069,0.0013664,0.0013664,0.0013664
34,70008.3,0.46483,0.38369,0.8907,1,0.99973,0.995,0.90758,0.39697,0.34254,0.81167,0.0013466,0.0013466,0.0013466
35,70133.1,0.468,0.37741,0.88712,0.96961,1,0.98921,0.9206,0.38238,0.33515,0.80256,0.0013268,0.0013268,0.0013268
36,70576.8,0.45188,0.37988,0.89502,0.99711,1,0.995,0.92624,0.36712,0.29412,0.79814,0.001307,0.001307,0.001307
37,70705,0.46056,0.38064,0.88329,0.99833,1,0.995,0.93501,0.38339,0.30579,0.80583,0.0012872,0.0012872,0.0012872
38,70832.1,0.45321,0.36428,0.89252,0.99928,1,0.995,0.93917,0.36482,0.3031,0.8012,0.0012674,0.0012674,0.0012674
39,70959.2,0.47282,0.37071,0.89831,0.9987,1,0.995,0.92105,0.41416,0.31047,0.8143,0.0012476,0.0012476,0.0012476
40,71086.3,0.48866,0.37998,0.90664,0.99931,1,0.995,0.92611,0.37962,0.29218,0.80078,0.0012278,0.0012278,0.0012278
41,71213.4,0.45794,0.34846,0.8903,0.9993,1,0.995,0.92868,0.38472,0.28647,0.79693,0.001208,0.001208,0.001208
42,71337.2,0.45354,0.36054,0.88682,0.99868,1,0.995,0.93081,0.34357,0.276,0.7934,0.0011882,0.0011882,0.0011882
43,71461.5,0.43081,0.33908,0.88071,0.99839,1,0.995,0.94035,0.35193,0.27373,0.79427,0.0011684,0.0011684,0.0011684
44,71587.3,0.43948,0.35717,0.89418,0.99729,1,0.995,0.91939,0.36483,0.29875,0.79656,0.0011486,0.0011486,0.0011486
45,71711.8,0.4284,0.33569,0.87534,0.99772,1,0.995,0.92647,0.3583,0.26902,0.79611,0.0011288,0.0011288,0.0011288
46,71836.7,0.47079,0.37658,0.90643,0.98988,1,0.995,0.94647,0.34814,0.25968,0.79833,0.001109,0.001109,0.001109
47,71963.7,0.44765,0.34323,0.87342,0.99523,1,0.995,0.92497,0.38311,0.27661,0.80369,0.0010892,0.0010892,0.0010892
48,72089.1,0.43089,0.33996,0.87694,0.99874,1,0.995,0.94409,0.34724,0.25703,0.79211,0.0010694,0.0010694,0.0010694
49,72215.6,0.4524,0.34783,0.86945,0.99909,1,0.995,0.9453,0.35969,0.27481,0.79832,0.0010496,0.0010496,0.0010496
50,72340.7,0.44282,0.33138,0.88945,0.99899,1,0.995,0.93337,0.34947,0.24856,0.79492,0.0010298,0.0010298,0.0010298
51,72465.9,0.41186,0.31574,0.8711,0.99922,1,0.995,0.94375,0.36843,0.25221,0.79578,0.00101,0.00101,0.00101
52,72591.5,0.41116,0.32006,0.87923,0.99923,1,0.995,0.95046,0.33172,0.23568,0.79229,0.0009902,0.0009902,0.0009902
53,72717.9,0.41872,0.32682,0.87607,0.99795,1,0.995,0.94599,0.34191,0.2611,0.79124,0.0009704,0.0009704,0.0009704
54,72845.3,0.38832,0.3141,0.86981,0.99808,1,0.995,0.93653,0.35811,0.2443,0.79252,0.0009506,0.0009506,0.0009506
55,72972.1,0.40171,0.31223,0.86581,0.99672,1,0.995,0.95322,0.32151,0.23064,0.7863,0.0009308,0.0009308,0.0009308
56,73098.9,0.39858,0.30331,0.87175,0.99682,1,0.995,0.94247,0.33233,0.24393,0.787,0.000911,0.000911,0.000911
57,73225.2,0.42129,0.31289,0.8749,0.99759,1,0.995,0.94667,0.3242,0.23474,0.78438,0.0008912,0.0008912,0.0008912
58,73350.3,0.3908,0.29471,0.86289,0.99938,1,0.995,0.94799,0.3323,0.23304,0.78253,0.0008714,0.0008714,0.0008714
59,73479.3,0.38632,0.29586,0.87267,0.99888,1,0.995,0.94282,0.33398,0.25659,0.79386,0.0008516,0.0008516,0.0008516
60,73606.2,0.40008,0.29538,0.8643,0.99838,1,0.995,0.94809,0.31547,0.22293,0.78323,0.0008318,0.0008318,0.0008318
61,73729.2,0.39063,0.29979,0.86839,0.99889,1,0.995,0.95308,0.31562,0.21563,0.78211,0.000812,0.000812,0.000812
62,73852.3,0.39235,0.29247,0.86738,0.99777,1,0.995,0.9486,0.3084,0.21591,0.77968,0.0007922,0.0007922,0.0007922
63,73973.8,0.38579,0.29077,0.85957,0.9987,1,0.995,0.95127,0.33305,0.21497,0.78615,0.0007724,0.0007724,0.0007724
64,74095,0.39352,0.29202,0.87154,0.99928,1,0.995,0.95699,0.30485,0.2149,0.78358,0.0007526,0.0007526,0.0007526
65,74215.9,0.38199,0.28177,0.86208,0.99932,1,0.995,0.95458,0.298,0.20724,0.77813,0.0007328,0.0007328,0.0007328
66,74336.6,0.36947,0.28326,0.86823,0.9994,1,0.995,0.95603,0.30318,0.20749,0.78086,0.000713,0.000713,0.000713
67,74457.2,0.38903,0.28542,0.87346,0.99932,1,0.995,0.94988,0.29458,0.20725,0.77855,0.0006932,0.0006932,0.0006932
68,74578.2,0.37623,0.27559,0.8573,0.99927,1,0.995,0.95679,0.3066,0.20091,0.78278,0.0006734,0.0006734,0.0006734
69,74699.1,0.38355,0.28525,0.85762,0.99921,1,0.995,0.95515,0.31816,0.20973,0.78598,0.0006536,0.0006536,0.0006536
70,74820.2,0.36024,0.27275,0.85469,0.99881,1,0.995,0.9514,0.29849,0.20841,0.77931,0.0006338,0.0006338,0.0006338
71,74927.9,0.38877,0.2829,0.87565,0.99696,1,0.995,0.94622,0.3085,0.2449,0.78619,0.000614,0.000614,0.000614
72,75022.9,0.38514,0.2916,0.86531,0.9983,1,0.995,0.95286,0.32037,0.20748,0.78341,0.0005942,0.0005942,0.0005942
73,75118.2,0.35923,0.2751,0.85006,0.99708,1,0.995,0.95867,0.30222,0.19912,0.77978,0.0005744,0.0005744,0.0005744
74,75214.1,0.36913,0.26792,0.86817,0.9977,1,0.995,0.95668,0.31403,0.20929,0.77996,0.0005546,0.0005546,0.0005546
75,75309.3,0.36576,0.26313,0.86084,0.9978,1,0.995,0.95541,0.29975,0.19606,0.77747,0.0005348,0.0005348,0.0005348
76,75404.2,0.35362,0.27203,0.85641,0.99725,1,0.995,0.95366,0.31418,0.21181,0.78089,0.000515,0.000515,0.000515
77,75499.5,0.34806,0.26409,0.85348,0.99861,1,0.995,0.957,0.30094,0.20064,0.78233,0.0004952,0.0004952,0.0004952
78,75594.5,0.37468,0.27329,0.85032,0.99918,1,0.995,0.9621,0.29451,0.19487,0.77837,0.0004754,0.0004754,0.0004754
79,75689.4,0.34378,0.25846,0.84984,0.99876,1,0.995,0.96076,0.29542,0.19448,0.77778,0.0004556,0.0004556,0.0004556
80,75784.4,0.34335,0.25926,0.85051,0.99895,1,0.995,0.95772,0.30038,0.19206,0.77988,0.0004358,0.0004358,0.0004358
81,75879.4,0.33849,0.26103,0.84008,0.99926,1,0.995,0.96606,0.29272,0.17875,0.7788,0.000416,0.000416,0.000416
82,75974.6,0.34599,0.25141,0.86197,0.99934,1,0.995,0.96743,0.28848,0.17683,0.77682,0.0003962,0.0003962,0.0003962
83,76069.5,0.35457,0.26156,0.86238,0.99939,1,0.995,0.96585,0.29811,0.19515,0.77652,0.0003764,0.0003764,0.0003764
84,76165.3,0.35034,0.26802,0.84924,0.99944,1,0.995,0.95933,0.29389,0.19218,0.77631,0.0003566,0.0003566,0.0003566
85,76264.1,0.35469,0.26067,0.85719,0.99943,1,0.995,0.95714,0.30093,0.18887,0.77933,0.0003368,0.0003368,0.0003368
86,76359.6,0.31741,0.24184,0.84073,0.99939,1,0.995,0.96271,0.30078,0.18184,0.77862,0.000317,0.000317,0.000317
87,76454.5,0.33466,0.24198,0.84214,0.99944,1,0.995,0.96323,0.29563,0.18072,0.77995,0.0002972,0.0002972,0.0002972
88,76549.1,0.34373,0.24416,0.85792,0.99947,1,0.995,0.9654,0.27758,0.17335,0.77599,0.0002774,0.0002774,0.0002774
89,76643.6,0.31637,0.24536,0.84496,0.99947,1,0.995,0.96154,0.27655,0.17206,0.77585,0.0002576,0.0002576,0.0002576
90,76739,0.31845,0.23981,0.85066,0.99946,1,0.995,0.96059,0.27924,0.16614,0.77545,0.0002378,0.0002378,0.0002378
91,76833.1,0.26649,0.18739,0.78058,0.99945,1,0.995,0.96163,0.27924,0.16726,0.77527,0.000218,0.000218,0.000218
92,76927.3,0.26408,0.18917,0.79609,0.99941,1,0.995,0.96283,0.28578,0.17524,0.77534,0.0001982,0.0001982,0.0001982
93,77021.5,0.27408,0.19401,0.78097,0.99943,1,0.995,0.96348,0.27982,0.16985,0.77589,0.0001784,0.0001784,0.0001784
94,77116,0.26046,0.18988,0.78151,0.99943,1,0.995,0.96121,0.27535,0.16889,0.77506,0.0001586,0.0001586,0.0001586
95,77209.9,0.26381,0.18971,0.79571,0.99945,1,0.995,0.96201,0.27084,0.16445,0.77304,0.0001388,0.0001388,0.0001388
96,77303.9,0.26443,0.18597,0.78808,0.99946,1,0.995,0.96213,0.2721,0.16785,0.77333,0.000119,0.000119,0.000119
97,77398,0.25428,0.18099,0.77863,0.99946,1,0.995,0.96123,0.27573,0.16613,0.77325,9.92e-05,9.92e-05,9.92e-05
98,77492.3,0.24902,0.17087,0.79174,0.99946,1,0.995,0.9642,0.27129,0.15732,0.77254,7.94e-05,7.94e-05,7.94e-05
99,77586.1,0.24236,0.17161,0.79283,0.99947,1,0.995,0.96162,0.2688,0.15577,0.77262,5.96e-05,5.96e-05,5.96e-05
100,77680.1,0.24737,0.17435,0.79047,0.99946,1,0.995,0.96126,0.2693,0.1585,0.77301,3.98e-05,3.98e-05,3.98e-05
